date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2008-09-16,'Worst Is Yet To Come' For Russian Financial Sector - Radio Free Europe/Radio Liberty,https://news.google.com/rss/articles/CBMidkFVX3lxTFA3Ml9OUjdYZzVQcTZ6ZnEwOS1CWWpNWDBQdFFoRllzRlNxMkdxZDJ3VUI1OElPc3FZNkVLeWdNc0hQbVR4b1p3LWJYY1I3eU5zYmNtbTdYY3JmWWY3YjM5RGNRZHRXc0xiY05HdTZXQmRMVC12WGfSAXhBVV95cUxObmw5ZEVCWXN4NWlXam83YUQzOGNybUhHNFhDSmxHN1laRmd3REF4a3EybHBJZDR4bGMwNWdTUWZhazNMLWhSdHNFa01HWkdpQUY1LWdnbG1PTzZCY2JoTDRFNlZGOEgxVTdadHozNjBhU1YxOGNBeFM?oc=5,Radio Free Europe/Radio Liberty,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-09-18,Ryanair to break even if oil stays at $100 - The Guardian,https://news.google.com/rss/articles/CBMigAFBVV95cUxPeGJBSzM3SV8tZXJaYW05Q3VpTjZTVllNc0kwSjQ0TGphbTZ3RkZRUFdEQXF6VWRlNkVYYk9HSVFWbEFJT2VNNk5iay1aUjhIZkY3N2NVRmlfQXZrbVFKOHVuS3ZnSlV2Z3U5LTQ3NmJVaWd5aVVLa1lub1RDTG9aQw?oc=5,The Guardian,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-09-19,Pearls of financial wisdom - Emirates 24|7,https://news.google.com/rss/articles/CBMiogFBVV95cUxOUTdFdXNXVXRlaDNjWjU4MmJhOWRWZ0xCekE4cG9sZ3NGcVVCUzdtR1l6Zjl4MXZsVGxuNWpVQXNjTm92c00wN2JFYm9SR1ljZFNyRkNoNzJGZUdlSGs5QUN3anNXeHNEWlJ1OEdpTXF4RHNWYXdkMXdmR0xMa3ZDWFQyVnBtNzRzSzQ0T0tlSmhpTmhnVWNxSUU2X3ZyMjYzLVHSAbwBQVVfeXFMUGFpTXNsQWJqMmx3R0t2X3VFdlhDOVljS3RXSXh0SmdmcEtaODA3MHpGYU5Xc2o5RDE2SzJzeEFDdElCLVZfZTJKNThOQ0gxTWx4am05bDdQeWd4aDZ4UHlIRG81X0pkQzBmbnlUdm5ObmdhWUEwM2NMbUJWSm05VzZ2ZV9RZHFtQ0lUaHRPRlhUb045Z2l6aU9zME1FR2FTdkNtR3kwdkxTMFRPSG5abFBhVUdwcDRkMEVpd3M?oc=5,Emirates 24|7,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-09-29,Silverado collapse cost taxpayers $1 billion - The Denver Post,https://news.google.com/rss/articles/CBMiigFBVV95cUxPMTMycUpBbGtZR3pUQkFtVWd0NWdBdUlaVHBEbWV4Z1J5VE1XYmVLcDRDd1NCaGpoMXh3U2VBNUVyN0VNSGdMQmwyVUp3M1JuOS1vRFJQTHZsZjlrdVJaOV9nNmhWU29ZNHhLVVZuM3NmZDBpVHVMMjJvS1FzVmNGNVpLbzUtX01kSkE?oc=5,The Denver Post,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-09-30,Financial crisis: Dow Jones collapses as Paulson bail-out fails - The Telegraph,https://news.google.com/rss/articles/CBMipgFBVV95cUxOVTdHdFRSYUVNc3BSMzRzeUJCQnhxRGhmQThxVHJMN2hwbzhkZkNiSWhTZjN2aTR2QUJvU21yZTZWbF9hWUZHdVlsTkFNTktjV3JHZ0YwU0VyWEtJQjZSRFlHY0FiUHh3X3VJMElzUEtFOEFPdkhZa2R2YkJCenJGQl9GOTJvRllaX0hiWEQ1WTZHdWZOSnN4Yk9TMHJwTmdSYVR0d013?oc=5,The Telegraph,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-08,Financial crisis timeline - The Guardian,https://news.google.com/rss/articles/CBMigAFBVV95cUxQZW1ZNU5CcGpCemh5R1RNN3pZbUZEeGducldGQVZIZzlDS1l6X1BZMXlWZUhWd010TlhpYzl1VGY0NllCQlZiXzk3aEdidmtMUEN4eUtIOGk1d1o3NEJQSVNWQ0pYQ1RQVV9fbVk0b1Fkc1RPQ2NqaV9VcXJReXhGUg?oc=5,The Guardian,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-08,Arab stock markets plunge for 4th day - العربية,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBXNEk3YWIyaVo4UW15Tnczb2NxXzFxcVdVbGExQ1hGbGtXQTVrRDY0dWtwTGRnWjVhZkE5cWUtNk9ITW1NYnhENVlaVXZ0dGU0Tmw0MHcySHo2T2pZTjI3aDJCVEFOM2dq?oc=5,العربية,en,global financial crisis crude oil,global_financial_crisis,relevant,2
2008-10-10,Worst day in 21 years - SMH.com.au,https://news.google.com/rss/articles/CBMifEFVX3lxTE5XQk1wN2FBRGRoNTZ4UUZEQ183QjRGdjNweFUzY1FSbEFNN2JodU1NMTBDQWFKODF2LW9jSVVPTEZDUDhabUxoQ0FqVDVuMHpFck5xM0tuam8zdkhrTUVUeXMyQ1lQUkhyRXY3c3RrRFBORU8wYTY4SzBrRGo?oc=5,SMH.com.au,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-12,UAE takes preventive measures to face global financial crisis - Dubai Chronicle,https://news.google.com/rss/articles/CBMipwFBVV95cUxPU29ZX2hhdUJrT2pHVDVHSzVmM0ROWUlaQUo2YzBxTmJELWpOZmRYczhtRURyeXExdFJnZVRyYWE3TVJPYVJBNE5SVjFDTDd3QnA4bFBvRWtuSVB0V0ppLTc0UGJkaDJEUF9WRnY4M01ETnppZlR4MjZoQmtKbEtJYjlfVUd4VnVPZXhEZTZCcHAtMGgyUU9OWWgwVTFMWFZ4RUZLSTlWWdIBpwFBVV95cUxPU29ZX2hhdUJrT2pHVDVHSzVmM0ROWUlaQUo2YzBxTmJELWpOZmRYczhtRURyeXExdFJnZVRyYWE3TVJPYVJBNE5SVjFDTDd3QnA4bFBvRWtuSVB0V0ppLTc0UGJkaDJEUF9WRnY4M01ETnppZlR4MjZoQmtKbEtJYjlfVUd4VnVPZXhEZTZCcHAtMGgyUU9OWWgwVTFMWFZ4RUZLSTlWWQ?oc=5,Dubai Chronicle,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-15,"Commodities fall as investors flee - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1XRWs3XzBkemZocGNMdFR3eUZXTFR2bjJhX3ZhYk1fa0hjMlB4Q3U5a1p0QV9vUThKa0FWVDlfYlctMFlOOU9oSjJGc3NyODM2TWpTZzBuU29wbW1CS0VHX2lR0gFnQVVfeXFMTlc0YmJ2Qy1fZ3VLUUZfVXN4U2FiQTllM1BzQmIzcTRreGtxVnJYdVBTZ2lHRUpzNko3TWwxNkdzVUVkSGVyOWNvWGxjMms0UVNDM2hteTBISlZXTXBRUU5xZ2EyNmc5cw?oc=5,"ABC News - Breaking News, Latest News and Videos",en,global financial crisis crude oil,global_financial_crisis,relevant,2
