date,diesel_price_krw
2008-12-03,1340.2
2008-12-04,1337.44
2008-12-05,1336.22
2008-12-06,1335.17
2008-12-07,1334.54
2008-12-08,1332.83
2008-12-09,1331.7
2008-12-10,1328.91
2008-12-11,1320.02
2008-12-12,1311.88
2008-12-13,1306.09
2008-12-14,1304.14
2008-12-15,1300.57
2008-12-16,1297.91
2008-12-17,1295.38
2008-12-18,1289.05
2008-12-19,1283.77
2008-12-20,1280.75
2008-12-21,1279.4
2008-12-22,1276.63
2008-12-23,1274.95
2008-12-24,1273.36
2008-12-25,1271.64
2008-12-26,1270.23
2008-12-27,1270.0
2008-12-28,1269.49
2008-12-29,1268.69
2008-12-30,1268.45
2008-12-31,1269.05
2009-01-01,1275.89
2009-01-02,1275.86
2009-01-03,1276.27
2009-01-04,1276.22
2009-01-05,1275.7
2009-01-06,1276.33
2009-01-07,1277.18
2009-01-08,1281.24
2009-01-09,1283.18
2009-01-10,1285.27
2009-01-11,1286.02
2009-01-12,1286.38
2009-01-13,1287.37
2009-01-14,1289.86
2009-01-15,1298.12
2009-01-16,1303.96
2009-01-17,1309.16
2009-01-18,1311.29
2009-01-19,1313.66
2009-01-20,1317.42
2009-01-21,1321.99
2009-01-22,1325.4
2009-01-23,1330.12
2009-01-24,1333.51
2009-01-25,1335.08
2009-01-26,1335.54
2009-01-27,1335.73
2009-01-28,1335.85
2009-01-29,1333.16
2009-01-30,1332.71
2009-01-31,1332.55
2009-02-01,1332.07
2009-02-02,1331.64
2009-02-03,1331.17
2009-02-04,1331.02
2009-02-05,1330.83
2009-02-06,1330.71
2009-02-07,1330.44
2009-02-08,1330.28
2009-02-09,1329.49
2009-02-10,1328.94
2009-02-11,1327.82
2009-02-12,1324.67
2009-02-13,1323.08
2009-02-14,1321.72
2009-02-15,1321.09
2009-02-16,1319.87
2009-02-17,1318.71
2009-02-18,1317.64
2009-02-19,1316.11
2009-02-20,1314.36
2009-02-21,1313.48
2009-02-22,1312.91
2009-02-23,1311.56
2009-02-24,1310.26
2009-02-25,1308.94
2009-02-26,1306.75
2009-02-27,1305.73
2009-02-28,1305.34
2009-03-01,1304.45
2009-03-02,1303.36
2009-03-03,1302.27
2009-03-04,1301.93
2009-03-05,1305.12
2009-03-06,1306.92
2009-03-07,1307.86
2009-03-08,1308.16
2009-03-09,1307.68
2009-03-10,1307.53
2009-03-11,1307.7
2009-03-12,1307.14
2009-03-13,1307.71
2009-03-14,1307.57
2009-03-15,1307.7
2009-03-16,1306.74
2009-03-17,1306.57
2009-03-18,1305.93
2009-03-19,1303.46
2009-03-20,1300.93
2009-03-21,1299.16
2009-03-22,1297.29
2009-03-23,1297.46
2009-03-24,1297.01
2009-03-25,1297.26
2009-03-26,1302.68
2009-03-27,1307.67
2009-03-28,1310.76
2009-03-29,1312.45
2009-03-30,1313.24
2009-03-31,1315.05
2009-04-01,1319.65
2009-04-02,1324.41
2009-04-03,1329.84
2009-04-04,1332.83
2009-04-05,1334.02
2009-04-06,1334.62
2009-04-07,1335.67
2009-04-08,1335.72
2009-04-09,1333.78
2009-04-10,1334.32
2009-04-11,1334.51
2009-04-12,1334.8
2009-04-13,1334.39
2009-04-14,1334.52
2009-04-15,1334.64
2009-04-16,1333.87
2009-04-17,1334.4
2009-04-18,1334.4
2009-04-19,1335.8
2009-04-20,1333.97
2009-04-21,1334.08
2009-04-22,1333.64
2009-04-23,1332.74
2009-04-24,1332.75
2009-04-25,1332.63
2009-04-26,1332.7
2009-04-27,1329.34
2009-04-28,1331.23
2009-04-29,1330.22
2009-04-30,1328.87
2009-05-01,1326.17
2009-05-02,1325.16
2009-05-03,1324.69
2009-05-04,1323.07
2009-05-05,1321.01
2009-05-06,1318.9
2009-05-07,1316.76
2009-05-08,1315.77
2009-05-09,1315.54
2009-05-10,1315.61
2009-05-11,1315.39
2009-05-12,1317.69
2009-05-13,1318.93
2009-05-14,1319.15
2009-05-15,1320.57
2009-05-16,1321.47
2009-05-17,1321.75
2009-05-18,1321.56
2009-05-19,1321.97
2009-05-20,1322.38
2009-05-21,1322.79
2009-05-22,1323.33
2009-05-23,1324.32
2009-05-24,1324.65
2009-05-25,1324.81
2009-05-26,1325.66
2009-05-27,1326.22
2009-05-28,1325.96
2009-05-29,1326.97
2009-05-30,1327.1
2009-05-31,1327.55
2009-06-01,1327.75
2009-06-02,1332.57
2009-06-03,1333.58
2009-06-04,1337.03
2009-06-05,1341.98
2009-06-06,1346.69
2009-06-07,1348.93
2009-06-08,1352.36
2009-06-09,1367.88
2009-06-10,1381.55
2009-06-11,1390.05
2009-06-12,1399.87
2009-06-13,1407.46
2009-06-14,1409.31
2009-06-15,1411.54
2009-06-16,1418.06
2009-06-17,1422.64
2009-06-18,1425.47
2009-06-19,1428.95
2009-06-20,1431.29
2009-06-21,1432.38
2009-06-22,1433.43
2009-06-23,1436.94
2009-06-24,1439.44
2009-06-25,1441.03
2009-06-26,1442.42
2009-06-27,1444.13
2009-06-28,1444.93
2009-06-29,1445.04
2009-06-30,1445.09
2009-07-01,1445.37
2009-07-02,1444.49
2009-07-03,1445.27
2009-07-04,1445.27
2009-07-05,1445.22
2009-07-06,1444.78
2009-07-07,1444.33
2009-07-08,1443.13
2009-07-09,1442.19
2009-07-10,1441.44
2009-07-11,1440.61
2009-07-12,1440.46
2009-07-13,1438.7
2009-07-14,1433.93
2009-07-15,1429.54
2009-07-16,1424.53
2009-07-17,1421.44
2009-07-18,1418.74
2009-07-19,1417.4
2009-07-20,1414.19
2009-07-21,1411.32
2009-07-22,1409.41
2009-07-23,1407.56
2009-07-24,1407.37
2009-07-25,1406.84
2009-07-26,1406.66
2009-07-27,1405.84
2009-07-28,1409.7
2009-07-29,1410.45
2009-07-30,1411.18
2009-07-31,1412.91
2009-08-01,1414.24
2009-08-02,1414.88
2009-08-03,1415.5
2009-08-04,1418.9
2009-08-05,1422.88
2009-08-06,1423.56
2009-08-07,1426.33
2009-08-08,1429.31
2009-08-09,1431.33
2009-08-10,1433.6
2009-08-11,1439.69
2009-08-12,1444.13
2009-08-13,1446.89
2009-08-14,1451.12
2009-08-15,1453.19
2009-08-16,1454.1
2009-08-17,1454.83
2009-08-18,1457.63
2009-08-19,1458.63
2009-08-20,1459.34
2009-08-21,1461.46
2009-08-22,1462.96
2009-08-23,1463.73
2009-08-24,1464.04
2009-08-25,1464.99
2009-08-26,1465.58
2009-08-27,1465.41
2009-08-28,1466.71
2009-08-29,1467.06
2009-08-30,1467.28
2009-08-31,1466.97
2009-09-01,1468.73
2009-09-02,1469.28
2009-09-03,1468.76
2009-09-04,1469.13
2009-09-05,1468.9
2009-09-06,1468.87
2009-09-07,1468.0
2009-09-08,1466.42
2009-09-09,1464.87
2009-09-10,1463.11
2009-09-11,1462.3
2009-09-12,1461.27
2009-09-13,1460.69
2009-09-14,1458.64
2009-09-15,1455.99
2009-09-16,1453.43
2009-09-17,1450.87
2009-09-18,1449.48
2009-09-19,1448.03
2009-09-20,1447.51
2009-09-21,1445.69
2009-09-22,1443.37
2009-09-23,1441.28
2009-09-24,1438.81
2009-09-25,1437.25
2009-09-26,1435.5
2009-09-27,1434.45
2009-09-28,1432.02
2009-09-29,1427.63
2009-09-30,1423.95
2009-10-01,1419.75
2009-10-02,1418.97
2009-10-03,1418.22
2009-10-04,1417.69
2009-10-05,1415.1
2009-10-06,1411.16
2009-10-07,1407.67
2009-10-08,1404.54
2009-10-09,1402.07
2009-10-10,1400.18
2009-10-11,1399.12
2009-10-12,1396.59
2009-10-13,1394.79
