lag_days,wti_to_domestic_corr,brent_to_domestic_corr,risk_to_domestic_corr
0,0.035524116021294704,0.02355327753922823,0.13365943345274392
1,0.04881485086867879,0.03639355060758018,0.13911679868484192
2,0.05272714493225459,0.04798819985380083,0.14478452587068394
3,0.054623843346169085,0.04600306044749931,0.15019364815084654
4,0.04234175704317286,0.03940013407826683,0.1554085298403013
5,0.04437931100926085,0.04669868420868504,0.1604253181411379
6,0.0406216744265423,0.045278019612625224,0.1651626733664303
7,0.047759928917012154,0.06387934011787466,0.1696031430684217
8,0.06294458431231503,0.0728741305502962,0.17371193513992786
9,0.05651002875840497,0.07497008236445991,0.17748553924023203
10,0.037858194600345764,0.049748395719920756,0.1810161484208747
11,0.05230429243516004,0.06768955697131918,0.18397407244201583
12,0.04822279291336044,0.06543929958302763,0.18643975810798039
13,0.0454218890123574,0.06950258287088967,0.18836762735783302
14,0.05618691051650707,0.08538597349186058,0.18983549116906898
15,0.05363846726428751,0.07895928895329235,0.19081506524890057
16,0.04572096199289201,0.0709914206857389,0.19134934696734462
17,0.04028787785269273,0.05980813778588069,0.1915388881259289
18,0.036400615384996005,0.06358663551193892,0.19123915116037069
19,0.036085716436855285,0.053264240182270335,0.1905500531940743
20,0.03859757656047973,0.05596922018870522,0.1894990299000079
21,0.03916580517313067,0.064240734691,0.1881505626588035
22,0.045754702547917185,0.07213072766333438,0.1865468610080808
23,0.03879584594748274,0.06519395089375937,0.18473506327761713
24,0.0399034759200733,0.06380396720238973,0.18276378021432726
25,0.033080182044142516,0.05814460788210024,0.18067431989020516
26,0.0375342900447869,0.05634049796878446,0.1785040141042662
27,0.0397547232953308,0.05165238672853995,0.17628220948973997
28,0.03450383714573153,0.054557040773100134,0.17405089442542948
29,0.030114398748864967,0.05302440959400224,0.17185721818534963
30,0.027310804977559756,0.04861209787171974,0.1697982433350804
