date,predicted_domestic_price,raw_lstm_price,baseline_price,blended_price,news_risk_score,news_adjustment_pct,news_article_count,daily_change_cap_won,lstm_blend_weight
2026-05-31,2012.9843517149234,2062.1566299080846,2011.0041547619048,2012.9843517149234,-1.0,-0.0025,100,4.0,0.15
2026-06-01,2012.2687009073127,2059.868565571308,2011.0083095238094,2012.2687009073127,-1.0,-0.0025,100,4.0,0.15
2026-06-02,2011.553047577168,2106.7883252739903,2011.0124642857143,2011.553047577168,-1.0,-0.0025,100,4.0,0.15
2026-06-03,2010.8373917244896,2091.047694172859,2011.016619047619,2010.8373917244896,-1.0,-0.0025,100,4.0,0.15
2026-06-04,2010.121733349277,2052.526916966438,2011.0207738095237,2010.121733349277,-1.0,-0.0025,100,4.0,0.15
2026-06-05,2009.4060724515307,2051.467283244133,2011.0249285714285,2009.4060724515307,-1.0,-0.0025,100,4.0,0.15
2026-06-06,2008.69040903125,2099.993394613266,2011.0290833333333,2008.69040903125,-1.0,-0.0025,100,4.0,0.15
