,gasoline_price_krw,diesel_price_krw,lpg_price_krw,wti_close,brent_close,usd_krw
count,6614.0,6614.0,6362.0,6614.0,6614.0,6614.0
mean,1663.1818052615665,1504.0341170244935,939.4109195221628,72.37583468033174,78.0815363483873,1193.4176700923463
std,194.89025149981347,221.4870115882247,124.55680080689056,21.488014289052764,23.936580556482138,118.98511152026616
min,1247.58,1058.75,693.39,18.84000015258789,25.270000457763672,989.1
25%,1521.4524999999999,1332.3174999999999,818.1475,54.18000030517578,60.43000030517578,1114.4725
50%,1647.3,1491.91,956.78,71.6500015258789,75.12999725341797,1155.4850048828125
75%,1820.4925,1690.5225,1054.45,89.55000305175781,98.16999816894533,1265.745
max,2144.9,2167.66,1173.24,127.3499984741211,127.77999877929688,1570.1
