lag_days,wti_gasoline_return_corr,brent_gasoline_return_corr,usdkrw_gasoline_return_corr
0,0.043403667477694766,0.05587140374275098,0.012938859019095944
1,0.031826956707756905,0.03780918267680947,0.007028491364111236
2,0.03340672544590117,0.03958947506851346,-0.007652571820494774
3,0.029403578896140342,0.03727950412419346,0.011427396400153804
4,0.018498160054049223,0.027116035895386238,0.016231339681530826
5,0.04301477474788592,0.05280856604895804,0.010083621401228282
6,0.0359419934087161,0.0481478100403307,0.004287822779830127
7,0.050847066577755784,0.06557979024706537,0.006728163230042282
8,0.04980864538889956,0.06319683140572693,-0.0045964112877890356
9,0.04678250569782244,0.056933457713199194,0.0010325946945347433
10,0.04721398148098767,0.056681913345219374,0.0047057799743435895
11,0.06337763630813129,0.07066331784441604,0.008119401321115568
12,0.05304751331221725,0.05999300374044009,-0.004790523704665061
13,0.05348117289228335,0.06129901292267629,-0.009722767551660584
14,0.05880296752366345,0.06783242994673425,0.019591224727291825
15,0.052540019620716055,0.06022901701683333,0.014459567084645044
16,0.05282996805466875,0.06079845812567074,0.00031902280515788424
17,0.056019344824797465,0.06416011611721255,-0.013766019829743244
18,0.052002946695221465,0.0592195217813016,0.0029405082323573444
19,0.05244906118997772,0.05888847583908553,-0.0077106178930291085
20,0.05707261433589276,0.06489829635164031,-0.012721560714428735
21,0.05643123769859148,0.06738220013650857,0.0008493196965888143
22,0.06694497176490719,0.0790179843115919,-0.008691974082383851
23,0.06100146955542223,0.0734051488380126,-0.011104599283482125
24,0.05416660082376312,0.06215906198280345,-0.009631281700082164
25,0.05030475982996046,0.052997925434162436,-0.016378626923553078
26,0.057057274945878186,0.06090759955221716,-0.008081613730706993
27,0.059512381709255505,0.0640531253690154,-0.006621538351147563
28,0.05754387996213395,0.06515973587521919,0.0017058785921262646
29,0.05042824544803265,0.05728410885364966,0.0018721583823032915
30,0.04708978115520829,0.0551018569166658,-0.003834004488557494
