lag_days,wti_gasoline_corr,brent_gasoline_corr,usdkrw_gasoline_corr
0,0.8771735259445893,0.9101801975328224,-0.09409109141478834
1,0.8781305596149267,0.9110622181314563,-0.09475699766935361
2,0.8790331200227256,0.9118945577888476,-0.09536644531582779
3,0.8799112900135668,0.9126823400421653,-0.09596984991715635
4,0.8807493229225619,0.9134306308591732,-0.09659180305575726
5,0.8815558541998499,0.9141472444354577,-0.09724192569045868
6,0.8823130943837411,0.9148144196201725,-0.09791184136265728
7,0.8830239173491284,0.915434139092044,-0.09859133929454729
8,0.883671036833564,0.9159885205948625,-0.09927999190448239
9,0.8842505027406697,0.9164754698587622,-0.09995692835209218
10,0.884761113894905,0.9168969582070802,-0.10062924277160194
11,0.8852089566789618,0.9172588625403241,-0.10128563200358165
12,0.8855735227269947,0.9175475615261018,-0.10195302861840556
13,0.8858837575362035,0.9177858510053103,-0.1026177833782281
14,0.8861298436687369,0.9179641036598012,-0.10321407572787825
15,0.8863093648484396,0.9180801672586952,-0.10382253872866785
16,0.8864297075570304,0.9181406476475007,-0.10445538201084138
17,0.88648555703733,0.918141177370831,-0.10508446059828917
18,0.886476912368986,0.9180810697240593,-0.10567308687781504
19,0.8864112173625405,0.9179676275807322,-0.10625168208506941
20,0.8862932766161301,0.9178052974318229,-0.10690345276114141
21,0.8861191171007777,0.9175887579334795,-0.1075327443386548
22,0.8858877067482711,0.917315069444206,-0.10824100879190791
23,0.8855810684868723,0.9169684015093407,-0.10893723036933331
24,0.8852039930911778,0.9165532780487021,-0.10961441599759784
25,0.8847295199643886,0.9160393963976313,-0.11020862968994552
26,0.8842040275611627,0.9154784145776158,-0.11080196978748011
27,0.8836209657583525,0.9148650034141946,-0.11134527141654713
28,0.8829813355687542,0.9141985146224213,-0.1118886132047625
29,0.8822842359095846,0.9134763242883938,-0.11244692348792878
30,0.881527346403872,0.9126972165386587,-0.11301084531655094
