lag_days,wti_to_gasoline_corr,brent_to_gasoline_corr,risk_to_gasoline_corr,wti_to_diesel_price_corr,brent_to_diesel_price_corr,risk_to_diesel_price_corr,wti_to_lpg_price_corr,brent_to_lpg_price_corr,risk_to_lpg_price_corr
0,0.0431456023405136,0.05542646761385284,0.11047580673702458,0.04314560234051391,0.0554264676138531,0.1104758067370236,0.043145602340513886,0.055426467613853114,0.1104758067370245
1,0.03164832606483226,0.03751793896226825,0.11715130347835541,0.03164832606483393,0.03751793896226968,0.11715130347835456,0.03164832606483332,0.03751793896226955,0.11715130347835535
2,0.03324417618638176,0.039314924455930066,0.12410370937312455,0.03324417618637949,0.03931492445592805,0.12410370937312362,0.03324417618638107,0.03931492445592958,0.1241037093731245
3,0.02923812702752632,0.036983113231350076,0.13088817061407435,0.02923812702752738,0.036983113231350694,0.1308881706140734,0.02923812702752646,0.0369831132313497,0.1308881706140744
4,0.018398431410007743,0.02691331751920112,0.13754470821017342,0.018398431410007264,0.026913317519200685,0.13754470821017248,0.018398431410007823,0.026913317519200914,0.13754470821017342
5,0.042843644591839286,0.052479903850272465,0.14405334292669078,0.042843644591838814,0.05247990385027219,0.14405334292668995,0.04284364459183914,0.05247990385027236,0.14405334292669084
6,0.03576304928493525,0.04781036621881444,0.15031478951701063,0.03576304928493572,0.04781036621881468,0.15031478951700986,0.035763049284935025,0.04781036621881426,0.1503147895170107
7,0.05068561978951365,0.06520692857350967,0.1562927224783358,0.05068561978951324,0.06520692857350946,0.15629272247833498,0.050685619789513935,0.06520692857351028,0.15629272247833595
8,0.049643800149171136,0.06282880267765954,0.16193083855171242,0.04964380014917241,0.06282880267766094,0.16193083855171161,0.04964380014917158,0.06282880267766,0.16193083855171256
9,0.04661234576779612,0.05658161513427649,0.16720251281770074,0.04661234576779608,0.05658161513427657,0.16720251281769996,0.04661234576779649,0.05658161513427715,0.1672025128177008
10,0.04706568093691791,0.05636243873853271,0.17217409639472306,0.04706568093691886,0.05636243873853358,0.1721740963947223,0.04706568093691801,0.056362438738532805,0.17217409639472323
11,0.06318364703882876,0.07027302307649651,0.1765026575565912,0.06318364703882826,0.07027302307649616,0.17650265755659036,0.0631836470388293,0.07027302307649734,0.17650265755659142
12,0.052919962648382377,0.05970749296561062,0.18024528416380745,0.05291996264838208,0.05970749296561032,0.18024528416380672,0.05291996264838194,0.05970749296560995,0.1802452841638077
13,0.05332689237305397,0.06097234153186369,0.18333859198322994,0.0533268923730537,0.060972341531863504,0.18333859198322922,0.05332689237305293,0.06097234153186258,0.18333859198323021
14,0.058629198893101246,0.06746526309254716,0.18584698164842892,0.058629198893101094,0.0674652630925469,0.1858469816484282,0.05862919889310091,0.06746526309254634,0.18584698164842914
15,0.05239378336159168,0.059915106273560635,0.18773150733167296,0.052393783361591874,0.0599151062735606,0.1877315073316722,0.05239378336159219,0.059915106273561135,0.18773150733167315
16,0.05265232575918985,0.060440857399658654,0.18902930923568048,0.05265232575918892,0.06044085739965748,0.18902930923567982,0.05265232575918978,0.06044085739965854,0.1890293092356809
17,0.05583768540371771,0.0637916452078942,0.18983848292523492,0.0558376854037182,0.06379164520789507,0.18983848292523423,0.05583768540371723,0.06379164520789386,0.18983848292523514
18,0.051853096469951857,0.05890434874661518,0.1900141495974712,0.051853096469951905,0.05890434874661472,0.1900141495974706,0.05185309646995229,0.05890434874661567,0.1900141495974715
19,0.05227250180591193,0.058541793974080256,0.18965998781034302,0.052272501805912024,0.05854179397408049,0.18965998781034246,0.05227250180591176,0.05854179397407999,0.1896599878103434
20,0.056920954205793066,0.06456995047441932,0.18880922415291482,0.05692095420579239,0.06456995047441849,0.1888092241529141,0.05692095420579293,0.06456995047441907,0.1888092241529152
21,0.05625143969149708,0.06699918450851258,0.18753500869827566,0.056251439691496874,0.06699918450851254,0.18753500869827502,0.056251439691497165,0.06699918450851274,0.187535008698276
22,0.0667367909937473,0.07857581570955949,0.1858889956568824,0.06673679099374713,0.07857581570955888,0.18588899565688177,0.06673679099374746,0.07857581570955936,0.18588899565688274
23,0.06079624715028776,0.07297342608244117,0.18392883108474858,0.0607962471502863,0.07297342608243979,0.18392883108474806,0.06079624715028928,0.07297342608244257,0.18392883108474914
24,0.053960223001483475,0.06172509555971554,0.18171413678794793,0.05396022300148599,0.06172509555971835,0.18171413678794734,0.05396022300148299,0.06172509555971531,0.1817141367879484
25,0.05014075635706752,0.052667284450958494,0.17929734178686316,0.050140756357065726,0.05266728445095679,0.17929734178686252,0.05014075635706744,0.05266728445095849,0.1792973417868636
26,0.056851073723735226,0.060499899614739,0.17672682714625457,0.05685107372373565,0.0604998996147396,0.1767268271462538,0.05685107372373608,0.0604998996147399,0.17672682714625484
27,0.059285848053428,0.06360876664628101,0.1740426673155581,0.05928584805342737,0.06360876664628037,0.1740426673155575,0.05928584805342819,0.06360876664628062,0.17404266731555837
28,0.057361222490328684,0.06475373981070717,0.17129714417848682,0.05736122249032867,0.06475373981070687,0.1712971441784862,0.05736122249032887,0.06475373981070691,0.17129714417848707
29,0.05023739261477889,0.056886203303946725,0.16854718599171345,0.05023739261477834,0.056886203303946455,0.16854718599171278,0.05023739261477746,0.056886203303946045,0.1685471859917137
30,0.046905992587187396,0.05471071620599988,0.16589795374388322,0.0469059925871884,0.05471071620600054,0.1658979537438826,0.04690599258718819,0.05471071620599991,0.1658979537438834
