date,predicted_domestic_price,raw_lstm_price,baseline_price,blended_price,news_risk_score,news_adjustment_pct,news_article_count,daily_change_cap_won,lstm_blend_weight
2026-05-31,2011.6627109379133,2021.3107236480712,2011.0041547619048,2011.6627109379133,0.4351,0.001088,100,4.0,0.15
2026-06-01,2013.2398707125367,2065.811649558544,2011.0083095238094,2013.2398707125367,0.4351,0.001088,100,4.0,0.15
2026-06-02,2014.520816508668,2158.928754634857,2011.0124642857143,2014.520816508668,0.4351,0.001088,100,4.0,0.15
2026-06-03,2014.0802173998907,2076.0480365014073,2011.016619047619,2014.0802173998907,0.4351,0.001088,100,4.0,0.15
2026-06-04,2014.1894839714573,2065.763941438198,2011.0207738095237,2014.1894839714573,0.4351,0.001088,100,4.0,0.15
2026-06-05,2014.2542342980141,2055.072990241051,2011.0249285714285,2014.2542342980141,0.4351,0.001088,100,4.0,0.15
2026-06-06,2015.4235744682323,2102.6866035819053,2011.0290833333333,2015.4235744682323,0.4351,0.001088,100,4.0,0.15
