date,predicted_domestic_price,news_risk_score,news_adjustment_pct,news_article_count
2026-05-03,2027.1333076128599,1.0,0.035,100
2026-05-04,2081.4125887013674,1.0,0.035,100
2026-05-05,2188.561544245028,1.0,0.035,100
2026-05-06,2116.419159861946,1.0,0.035,100
2026-05-07,2127.61345541501,1.0,0.035,100
2026-05-08,2125.166408199048,1.0,0.035,100
2026-05-09,2178.9911606004234,1.0,0.035,100
