,count,mean,std,min,25%,50%,75%,max,missing
wti,6592.0,72.36106341019419,22.02256806986119,-36.98,54.7675,71.53,88.735,145.31,0
brent,6592.0,77.66403064320389,24.772530764422402,9.12,60.14,74.76,99.385,143.95,0
exchange,6592.0,1192.3157873179612,117.81892596174787,989.1,1114.4075,1155.3,1263.8874999999998,1570.1,0
domestic_price,6592.0,1662.019619235437,194.17225855467453,1247.58,1520.645,1646.8249999999998,1816.105,2144.9,0
risk_index,6592.0,0.01969710931824724,0.11225335912846152,0.0,0.0,0.0,2.462751729143717e-51,1.0,0
news_risk_index,6592.0,0.0022754854368932037,0.04765135946258479,0.0,0.0,0.0,0.0,1.0,0
domestic_return,6592.0,2.8696331384924656e-05,0.0017714730420387136,-0.023434392539885995,-0.00044390529004900703,-6.456690500311613e-06,0.0005250484891741181,0.03195535252154724,0
volatility_7d,6592.0,0.000497547093090853,0.000862373848390766,0.0,0.00014706051537023067,0.00027256668760977095,0.000516229476363085,0.014333213687061832,0
domestic_ma7,6592.0,1661.8721042533518,193.95496425931398,1248.042857142857,1520.264642857143,1646.8421428571428,1815.192857142857,2135.2228571428573,0
domestic_ma30,6592.0,1661.3459512718491,192.55001311945685,1254.5763333333334,1517.9672500000001,1645.8883333333333,1808.9035000000001,2112.294,0
